LogExposure,NegativeDensity,PrintDensity
0.00,0.19,3.26
0.05,0.19,3.26
0.10,0.19,3.26
0.15,0.19,3.26
0.20,0.19,3.26
0.25,0.19,3.26
0.30,0.20,3.25
0.35,0.20,3.24
0.40,0.20,3.24
0.45,0.21,3.21
0.50,0.22,3.19
0.55,0.23,3.17
0.60,0.23,3.15
0.65,0.26,3.06
0.70,0.28,2.98
0.75,0.31,2.89
0.80,0.33,2.81
0.85,0.36,2.70
0.90,0.39,2.58
0.95,0.42,2.47
1.00,0.45,2.36
1.05,0.48,2.24
1.10,0.51,2.13
1.15,0.54,2.02
1.20,0.57,1.90
1.25,0.60,1.79
1.30,0.64,1.67
1.35,0.67,1.55
1.40,0.70,1.44
1.45,0.73,1.34
1.50,0.76,1.25
1.55,0.79,1.15
1.60,0.82,1.06
1.65,0.85,0.98
1.70,0.88,0.90
1.75,0.91,0.82
1.80,0.94,0.74
1.85,0.97,0.68
1.90,1.00,0.62
1.95,1.03,0.55
2.00,1.06,0.49
2.05,1.09,0.45
2.10,1.12,0.41
2.15,1.15,0.36
2.20,1.18,0.32
2.25,1.21,0.29
2.30,1.25,0.26
2.35,1.28,0.23
2.40,1.31,0.20
2.45,1.34,0.18
2.50,1.37,0.16
2.55,1.40,0.14
2.60,1.43,0.12
2.65,1.46,0.11
2.70,1.49,0.10
2.75,1.52,0.09
2.80,1.55,0.08
2.85,1.58,0.07
2.90,1.61,0.07
2.95,1.64,0.06
3.00,1.67,0.05
3.05,1.69,0.05
3.10,1.72,0.05
3.15,1.74,0.05
3.20,1.76,0.04
3.25,1.78,0.04
3.30,1.79,0.04
3.35,1.81,0.04
3.40,1.82,0.04
3.45,1.83,0.04
3.50,1.84,0.04
3.55,1.84,0.04
3.60,1.85,0.04
3.65,1.85,0.04
3.70,1.86,0.04
3.75,1.86,0.04
3.80,1.86,0.04
3.85,1.86,0.04
3.90,1.87,0.04
3.95,1.87,0.04
4.00,1.87,0.04
